Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 27 Feb 2024, at 02:56 PM, a car collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 31 Jan 2024, at 04:13 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. DUI-related accident. Over speeding and reckless maneuvering",Drunk Driving,Rash Driving,Moderate
"On 23 Feb 2024, at 03:42 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 26 Jan 2024, at 11:31 AM, a bus collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 23 Jan 2024, at 03:48 PM, a car collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. Potholes, construction work, or lack of signs",Seatbelt Violation,Road Conditions,Moderate
"On 09 Jan 2024, at 09:43 AM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,Moderate
"On 07 Jan 2024, at 08:24 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. Two-wheeler rider not wearing a helmet",Rash Driving,Helmet Violation,Moderate
"On 29 Feb 2024, at 04:58 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 14 Feb 2024, at 02:40 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,High
"On 02 Jan 2024, at 04:23 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 24 Jan 2024, at 10:18 PM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 19 Feb 2024, at 12:50 AM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 22 Jan 2024, at 08:15 AM, a truck collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,High
"On 28 Feb 2024, at 01:26 PM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,High
"On 17 Jan 2024, at 06:21 AM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,Moderate
"On 13 Feb 2024, at 02:24 AM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,High
"On 20 Jan 2024, at 07:06 AM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 12 Jan 2024, at 05:13 PM, a car collided with a truck at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 15 Jan 2024, at 02:09 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 16 Feb 2024, at 05:36 AM, a car collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 12 Feb 2024, at 02:48 AM, a truck collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 02 Jan 2024, at 04:57 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Two-wheeler rider not wearing a helmet",Rash Driving,Helmet Violation,Moderate
"On 20 Jan 2024, at 05:25 AM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Feb 2024, at 08:20 AM, a car collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 24 Jan 2024, at 10:24 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,Moderate
"On 01 Jan 2024, at 09:23 AM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Car passengers not wearing seatbelts. DUI-related accident",Seatbelt Violation,Drunk Driving,High
"On 29 Jan 2024, at 10:26 PM, a bus collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 02 Feb 2024, at 11:35 PM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Mar 2024, at 04:04 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 04 Feb 2024, at 09:58 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,High
"On 26 Jan 2024, at 12:29 PM, a truck collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 14 Feb 2024, at 03:10 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 11 Feb 2024, at 05:32 PM, a car collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,Moderate
"On 11 Feb 2024, at 08:03 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 04 Jan 2024, at 11:54 PM, a truck collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 07 Jan 2024, at 05:52 PM, a car collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 18 Jan 2024, at 03:37 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 23 Jan 2024, at 02:14 PM, a truck collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,High
"On 03 Jan 2024, at 11:39 AM, a car collided with a two-wheeler at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 27 Feb 2024, at 04:12 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. DUI-related accident. Heavy rain, fog, or slippery roads",Drunk Driving,Weather Issues,High
"On 20 Jan 2024, at 05:33 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 08 Feb 2024, at 09:05 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 09 Jan 2024, at 06:14 AM, a car collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 13 Feb 2024, at 05:00 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 28 Feb 2024, at 02:44 AM, a bus collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 22 Feb 2024, at 10:35 PM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,Moderate
"On 17 Jan 2024, at 01:10 AM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 09 Feb 2024, at 05:02 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 17 Jan 2024, at 09:45 AM, a truck collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,Moderate
"On 05 Jan 2024, at 03:11 PM, a car collided with a two-wheeler at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 29 Feb 2024, at 08:32 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 23 Jan 2024, at 11:55 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 25 Feb 2024, at 01:07 AM, a two-wheeler collided with a truck at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 30 Jan 2024, at 03:36 AM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,Moderate
"On 21 Jan 2024, at 06:52 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 26 Jan 2024, at 09:17 AM, a bus collided with a two-wheeler at NH66 near Trivandrum. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
"On 27 Jan 2024, at 03:46 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 25 Jan 2024, at 07:52 AM, a bus collided with a truck at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 22 Feb 2024, at 04:24 AM, a truck collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 24 Feb 2024, at 05:07 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,High
"On 26 Jan 2024, at 03:55 PM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 20 Jan 2024, at 09:11 PM, a bus collided with a car at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,Moderate
"On 20 Feb 2024, at 09:16 PM, a truck collided with a truck at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 01 Jan 2024, at 12:20 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,Moderate
"On 06 Jan 2024, at 01:51 PM, a two-wheeler collided with a bus at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 18 Feb 2024, at 05:32 PM, a car collided with a truck at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,Moderate
"On 25 Jan 2024, at 02:19 AM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 03 Feb 2024, at 06:09 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 24 Feb 2024, at 04:34 AM, a two-wheeler collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 01 Feb 2024, at 06:17 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 16 Feb 2024, at 02:22 PM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 23 Jan 2024, at 08:22 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 08 Jan 2024, at 09:04 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,Moderate
"On 29 Jan 2024, at 02:01 PM, a bus collided with a bus at NH66 near Trivandrum. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,High
"On 08 Feb 2024, at 09:18 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 14 Jan 2024, at 09:03 PM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 03 Feb 2024, at 12:31 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 18 Jan 2024, at 05:52 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 22 Jan 2024, at 07:32 AM, a car collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 07 Jan 2024, at 09:25 AM, a truck collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Mar 2024, at 08:48 AM, a car collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 01 Mar 2024, at 11:27 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 28 Jan 2024, at 03:10 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,High
"On 06 Feb 2024, at 10:02 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 29 Jan 2024, at 03:25 PM, a bus collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 20 Jan 2024, at 05:07 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 21 Feb 2024, at 03:08 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,High
"On 24 Jan 2024, at 06:31 AM, a truck collided with a truck at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 19 Jan 2024, at 01:03 AM, a bus collided with a truck at NH66 near Trivandrum. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,High
"On 03 Jan 2024, at 12:29 PM, a bus collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,Moderate
"On 06 Feb 2024, at 09:21 PM, a bus collided with a auto-rickshaw at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 05 Feb 2024, at 11:32 AM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 31 Jan 2024, at 01:30 AM, a truck collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,Moderate
"On 15 Jan 2024, at 09:23 AM, a truck collided with a truck at NH66 near Trivandrum. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,High
"On 21 Feb 2024, at 04:19 AM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 02 Jan 2024, at 04:28 PM, a truck collided with a bus at MG Road, Bangalore. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 31 Jan 2024, at 09:51 PM, a bus collided with a truck at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 20 Jan 2024, at 07:23 AM, a truck collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 17 Feb 2024, at 09:42 AM, a car collided with a two-wheeler at Outer Ring Road, Hyderabad. DUI-related accident. Potholes, construction work, or lack of signs",Drunk Driving,Road Conditions,High
"On 30 Jan 2024, at 05:26 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,High
"On 11 Jan 2024, at 03:43 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,High
"On 10 Jan 2024, at 09:15 PM, a truck collided with a car at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 02 Feb 2024, at 10:18 PM, a bus collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 16 Feb 2024, at 12:08 PM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 03 Jan 2024, at 07:50 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 04 Jan 2024, at 01:21 PM, a bus collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 05 Jan 2024, at 04:29 AM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 29 Feb 2024, at 07:08 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 24 Jan 2024, at 02:10 PM, a bus collided with a bus at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,High
"On 22 Feb 2024, at 08:47 PM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,Moderate
"On 26 Feb 2024, at 03:23 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 07 Feb 2024, at 07:59 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 13 Feb 2024, at 10:27 PM, a car collided with a truck at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 03 Jan 2024, at 10:08 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 22 Jan 2024, at 02:24 AM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,Moderate
"On 11 Feb 2024, at 11:09 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,Moderate
"On 26 Feb 2024, at 04:59 PM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 13 Feb 2024, at 11:24 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 02 Feb 2024, at 09:18 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,Moderate
"On 11 Feb 2024, at 06:29 PM, a truck collided with a bus at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 12 Feb 2024, at 11:50 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Feb 2024, at 11:00 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,Moderate
"On 01 Feb 2024, at 11:52 AM, a two-wheeler collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 05 Feb 2024, at 04:24 PM, a car collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 16 Jan 2024, at 10:34 PM, a bus collided with a bus at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 16 Feb 2024, at 04:07 PM, a truck collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 12 Jan 2024, at 02:17 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 19 Feb 2024, at 06:23 AM, a car collided with a two-wheeler at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 03 Jan 2024, at 09:15 AM, a truck collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 13 Jan 2024, at 07:53 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 12 Jan 2024, at 01:46 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 13 Feb 2024, at 07:45 PM, a car collided with a auto-rickshaw at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 12 Jan 2024, at 11:40 AM, a two-wheeler collided with a bus at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 11 Feb 2024, at 09:36 PM, a car collided with a two-wheeler at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 16 Feb 2024, at 05:42 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 13 Feb 2024, at 03:06 PM, a two-wheeler collided with a bus at MG Road, Bangalore. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 18 Feb 2024, at 08:36 PM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 27 Jan 2024, at 05:24 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Jumping red lights or ignoring stop signs",Pedestrian Negligence,Signal Violation,Moderate
"On 03 Jan 2024, at 02:27 AM, a car collided with a truck at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 12 Feb 2024, at 12:31 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 03 Jan 2024, at 01:09 AM, a bus collided with a car at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 28 Feb 2024, at 12:08 AM, a truck collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 22 Jan 2024, at 01:46 PM, a truck collided with a car at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 21 Feb 2024, at 05:41 AM, a two-wheeler collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 05 Jan 2024, at 03:26 PM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 24 Feb 2024, at 08:17 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 07 Jan 2024, at 12:10 PM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 15 Feb 2024, at 09:52 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 22 Feb 2024, at 09:27 AM, a bus collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,Moderate
"On 03 Jan 2024, at 11:39 PM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 09 Jan 2024, at 10:57 PM, a car collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 12 Feb 2024, at 09:58 PM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 16 Feb 2024, at 07:17 AM, a car collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 13 Feb 2024, at 02:08 PM, a bus collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
